"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRDED","HHIP_DED","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHISPECT","HHIS_ECT","HHIPROUT","HHIP_OUT","HHIPRYOU","HHIP_YOU","HHIRPMPD","HHISUBPD","HHIS_BPD","PORTAL","PORTAL_","PORTPLAN","PORT_LAN","PREMSUBS","PREM_UBS"
"20153","02992864",2,0,"1","01","D",,"A",1,"D","3","D","2","D","D",81,"F","2","D","1","D","2","D",,"A",,"A",,"C","04",,"C","1","D",,"C","1","D"
"20153","02992904",10,0,"5","01","D",,"A",5,"D","2","D","1","D","D",720,"D","2","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992904",11,0,"5","02","D",,"A",1,"D","2","D","1","D","D",325,"D","2","D","1","D","1","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02993024",4,0,"5","01","D",,"A",1,"D","1","D","2","D","D",900,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993034",14,0,"5","01","D",,"A",2,"D","2","D","1","D","D",1500,"D","1","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993034",15,0,"5","02","D",,"A",2,"D","2","D","1","D","D",.,"A","2","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993034",16,0,"5","03","D",,"A",2,"D","2","D","1","D","D",.,"A","2","D","4","D",,"A","2","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02993114",19,0,"5","01","D",,"A",1,"D","2","D","1","D","D",676,"D","1","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02993114",20,0,"5","02","D",,"A",1,"D","2","D","1","D","D",39,"D","2","D","4","D",,"A","2","D",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02993114",21,0,"5","03","D",,"A",1,"D","2","D","1","D","D",65,"D","2","D","4","D",,"A","1","D",,"A","1","D","01",,"A",,"A",,"A",,"A"
